Evaluation

batch_size=10
char_cnn_filter_num=30
char_embeddings_dim=25
char_window_size=3
check_for_lowercase=True
clip_grad=5
cnn_window_size=3
cross_fold_id=-1
cross_folds_num=-1
data_io='connl-ner-2003'
dataset_sort=False
dev='data/NER/CONLL_2003_test_task/eng.testa'
dropout_ratio=0.5
emb_delimiter=' '
emb_dim=100
emb_fn='./embeddings/glove.6B.100d.txt'
emb_load_all=False
epoch_num=100
evaluator='f1-connl'
freeze_char_embeddings=False
freeze_word_embeddings=False
gpu=0
load=None
lr=0.01
lr_decay=0.05
min_epoch_num=50
model='CNNCNNCRF'
momentum=0.9
opt='sgd'
patience=15
report_fn='2020_10_21_15-57_33_report.txt'
rnn_hidden_dim=100
rnn_type='LSTM'
save='2020_10_21_15-57_33_tagger.hdf5'
save_best=True
seed_num=42
test='data/NER/CONLL_2003_test_task/eng.testb'
train='data/NER/CONLL_2003_test_task/eng.train'
verbose=True
word_len=20
word_seq_indexer=None

         epoch  |     train loss | f1-connl-train |   f1-connl-dev |  f1-connl-test 
             61 |          61.31 |          95.05 |          90.20 |          85.93 
             62 |          54.66 |          95.39 |          90.16 |          86.12 
             63 |          60.94 |          94.70 |          89.44 |          85.86 
             64 |          61.34 |          94.87 |          89.62 |          85.12 
             65 |          71.54 |          95.41 |          90.53 |          86.04 
             66 |          58.02 |          95.46 |          90.84 |          86.55 
             67 |          62.94 |          95.59 |          90.61 |          86.30 
             68 |          53.39 |          95.41 |          90.27 |          86.14 
             69 |          58.93 |          95.62 |          90.14 |          86.50 
             70 |          59.63 |          95.33 |          90.24 |          85.39 
             71 |          54.20 |          95.77 |          90.16 |          86.14 
             72 |          58.88 |          95.62 |          90.70 |          85.82 
             73 |          52.65 |          95.16 |          89.42 |          85.35 
             74 |          56.10 |          95.47 |          89.78 |          86.06 
             75 |          52.54 |          95.26 |          89.32 |          85.82 
             76 |          57.08 |          95.48 |          90.52 |          86.37 
             77 |          59.68 |          94.75 |          88.97 |          85.02 
             78 |          49.79 |          94.21 |          89.07 |          84.54 
             79 |          46.57 |          95.93 |          90.72 |          86.39 
             80 |          56.51 |          95.55 |          90.23 |          85.63 
